Trial,Val_Accuracy,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Time
90,55.779999999999994,2,relu,1536,1.0605394745201271e-05,64,3.2714585290960824e-05,0.24142935266986904,281.32
91,29.2,2,tanh,512,0.002520357802863129,96,0.003606704741142261,0.11450645767719343,38.37
92,54.42,1,relu,512,3.5007465489766936e-05,64,4.991672925588975e-05,0.11631999259499888,207.7
93,40.37,2,elu,1536,0.00010610834490022609,64,0.005509264401483884,0.47203396312327406,133.99
94,43.51,3,relu,1536,0.0008317074659826814,128,0.0038937860709087613,0.1410737745212175,72.36
95,52.62,4,gelu,512,2.385583047935941e-05,128,0.00044778178967937843,0.447323525531346,160.43
96,45.019999999999996,1,tanh,512,1.4738096360421114e-05,96,0.00025531469201189053,0.3622280587935146,180.92
97,47.339999999999996,2,gelu,1536,0.00037030121547526926,128,0.004232389555140054,0.24735558391781895,91.3
98,44.0,2,selu,512,0.001199306538387198,64,2.424148159479364e-05,0.49547450728606834,81.6
99,41.93,1,gelu,1024,0.0012576281711552204,64,0.00014286944113114564,0.30932785074786684,84.1
100,53.290000000000006,2,relu,1024,0.0002492985549077014,64,0.0002472827310946503,0.2459758153869682,132.48
101,53.769999999999996,2,elu,1536,2.448347533263346e-05,128,9.064864286040517e-05,0.2094833872492392,233.78
102,51.94,3,gelu,1024,1.9934495557036263e-05,128,0.0016282598749136994,0.37948378486605316,194.16
103,47.55,3,selu,1536,2.1275431583727373e-05,96,0.00102927107050796,0.3870771120210329,356.3
104,10.0,2,selu,1536,0.008043221136359888,64,0.0001679996271128502,0.16332747619952018,48.25
105,46.9,4,relu,512,2.5481845550693968e-05,128,1.3796938791270379e-05,0.4819051226129829,155.78
106,32.690000000000005,4,selu,1024,0.001410023403906169,64,1.0152343408649297e-05,0.4814561170331185,92.38
107,17.599999999999998,2,relu,1024,0.002570073445779154,64,0.007686495622305116,0.358802360184339,49.3
108,35.47,3,relu,1536,0.0008608639660680104,64,0.0003953698934830484,0.40129566323632015,55.93
109,43.96,3,relu,1024,0.0006684359148954997,128,1.713304095695091e-05,0.40553301150988297,82.12
110,50.61,3,tanh,1536,1.3124120776516602e-05,96,0.0005840977057679659,0.220754075821707,352.64
111,37.86,2,tanh,512,0.0004577665918598367,96,0.004335201047208632,0.4374616597778994,54.44
112,17.380000000000003,3,tanh,1536,0.001622742507531205,96,0.0001867602087221675,0.281677365550805,50.92
113,49.24,4,relu,512,0.00011695501189132795,96,0.00010643767944153684,0.3785511291337459,129.86
114,41.46,1,relu,1024,0.0013176825501885077,64,0.0007217127878867671,0.17070236446559744,65.72
115,18.88,4,elu,1536,0.0048635189523831895,128,0.001923831268156043,0.4191519114031129,37.55
116,50.62,2,tanh,1536,0.0001683352040328708,64,0.0003604530715367859,0.2736187489823777,131.52
